cyl,vs,am,gear,carb,drat_cat,wt_cat,qsec_cat,hp_cat,disp_cat,mpg_cat
6,0,1,4,4,mid_drat,low_wt,mid_qsec,low_hp,low_disp,mid_mpg
6,0,1,4,4,mid_drat,low_wt,mid_qsec,low_hp,low_disp,mid_mpg
4,1,1,4,1,mid_drat,low_wt,mid_qsec,low_hp,low_disp,mid_mpg
6,1,0,3,1,low_drat,mid_wt,high_qsec,low_hp,mid_disp,mid_mpg
8,0,0,3,2,low_drat,mid_wt,mid_qsec,low_hp,high_disp,low_mid_mpg
6,1,0,3,1,low_drat,mid_wt,high_qsec,low_hp,mid_disp,low_mid_mpg
8,0,0,3,4,low_drat,mid_wt,low_qsec,high_hp,high_disp,low_mpg
4,1,0,4,2,mid_drat,mid_wt,high_qsec,low_hp,low_disp,mid_mpg
4,1,0,4,2,mid_drat,mid_wt,high_qsec,low_hp,low_disp,mid_mpg
6,1,0,4,4,mid_drat,mid_wt,mid_qsec,low_hp,low_disp,low_mid_mpg
6,1,0,4,4,mid_drat,mid_wt,mid_qsec,low_hp,low_disp,low_mid_mpg
8,0,0,3,3,low_drat,mid_wt,mid_qsec,low_hp,mid_disp,low_mid_mpg
8,0,0,3,3,low_drat,mid_wt,mid_qsec,low_hp,mid_disp,low_mid_mpg
8,0,0,3,3,low_drat,mid_wt,mid_qsec,low_hp,mid_disp,low_mid_mpg
8,0,0,3,4,low_drat,high_wt,mid_qsec,high_hp,high_disp,low_mpg
8,0,0,3,4,low_drat,high_wt,mid_qsec,high_hp,high_disp,low_mpg
8,0,0,3,4,low_drat,high_wt,mid_qsec,high_hp,high_disp,low_mpg
4,1,1,4,1,high_drat,low_wt,high_qsec,low_hp,low_disp,high_mpg
4,1,1,4,2,high_drat,low_wt,mid_qsec,low_hp,low_disp,high_mpg
4,1,1,4,1,high_drat,low_wt,high_qsec,low_hp,low_disp,high_mpg
4,1,0,3,1,mid_drat,low_wt,high_qsec,low_hp,low_disp,mid_mpg
8,0,0,3,2,low_drat,mid_wt,mid_qsec,low_hp,high_disp,low_mid_mpg
8,0,0,3,2,low_drat,mid_wt,mid_qsec,low_hp,high_disp,low_mid_mpg
8,0,0,3,4,mid_drat,mid_wt,low_qsec,high_hp,high_disp,low_mpg
8,0,0,3,2,low_drat,mid_wt,mid_qsec,low_hp,high_disp,low_mid_mpg
4,1,1,4,1,high_drat,low_wt,mid_qsec,low_hp,low_disp,mid_mpg
4,0,1,5,2,high_drat,low_wt,mid_qsec,low_hp,low_disp,mid_mpg
4,1,1,5,2,mid_drat,low_wt,mid_qsec,low_hp,low_disp,high_mpg
8,0,1,5,4,high_drat,mid_wt,low_qsec,high_hp,high_disp,low_mid_mpg
6,0,1,5,6,mid_drat,low_wt,low_qsec,low_hp,low_disp,low_mid_mpg
8,0,1,5,8,mid_drat,mid_wt,low_qsec,high_hp,high_disp,low_mpg
4,1,1,4,2,high_drat,low_wt,mid_qsec,low_hp,low_disp,mid_mpg
